# time panda_joint1 panda_joint2 panda_joint3 panda_joint4 panda_joint5 panda_joint6 panda_joint7 panda_finger_joint1 panda_finger_joint2
0.770000 -0.01667172 -0.24625063 -0.02221073 -1.94952464 0.00219997 3.07448397 0.74100000 0.04000000 0.04000000
0.775000 -0.01677042 -0.24406616 -0.02233349 -1.94819483 0.00221244 3.07477672 0.74100000 0.04000000 0.04000000
0.780000 -0.01686907 -0.24188060 -0.02245598 -1.94686115 0.00222489 3.07506995 0.74100000 0.04000000 0.04000000
0.785000 -0.01696766 -0.23969395 -0.02257819 -1.94552360 0.00223732 3.07536366 0.74100000 0.04000000 0.04000000
0.790000 -0.01706621 -0.23750620 -0.02270014 -1.94418216 0.00224973 3.07565784 0.74100000 0.04000000 0.04000000
0.795000 -0.01716471 -0.23531736 -0.02282180 -1.94283685 0.00226211 3.07595249 0.74100000 0.04000000 0.04000000
0.800000 -0.01726315 -0.23312743 -0.02294320 -1.94148765 0.00227446 3.07624760 0.74100000 0.04000000 0.04000000
0.805000 -0.01736155 -0.23093642 -0.02306432 -1.94013456 0.00228680 3.07654317 0.74100000 0.04000000 0.04000000
0.810000 -0.01745991 -0.22874433 -0.02318517 -1.93877759 0.00229911 3.07683920 0.74100000 0.04000000 0.04000000
0.815000 -0.01755822 -0.22655116 -0.02330574 -1.93741672 0.00231139 3.07713569 0.74100000 0.04000000 0.04000000
0.820000 -0.01765649 -0.22435692 -0.02342604 -1.93605195 0.00232365 3.07743262 0.74100000 0.04000000 0.04000000
0.825000 -0.01775472 -0.22216160 -0.02354606 -1.93468329 0.00233589 3.07773000 0.74100000 0.04000000 0.04000000
0.830000 -0.01785290 -0.21996521 -0.02366581 -1.93331072 0.00234810 3.07802783 0.74100000 0.04000000 0.04000000
0.835000 -0.01795105 -0.21776776 -0.02378528 -1.93193425 0.00236029 3.07832609 0.74100000 0.04000000 0.04000000
0.840000 -0.01804916 -0.21556924 -0.02390448 -1.93055386 0.00237246 3.07862478 0.74100000 0.04000000 0.04000000
0.845000 -0.01814723 -0.21336965 -0.02402340 -1.92916957 0.00238460 3.07892391 0.74100000 0.04000000 0.04000000
0.850000 -0.01824527 -0.21116901 -0.02414204 -1.92778136 0.00239671 3.07922346 0.74100000 0.04000000 0.04000000
0.855000 -0.01834327 -0.20896731 -0.02426041 -1.92638923 0.00240881 3.07952344 0.74100000 0.04000000 0.04000000
0.860000 -0.01844125 -0.20676455 -0.02437850 -1.92499318 0.00242088 3.07982383 0.74100000 0.04000000 0.04000000
0.865000 -0.01853919 -0.20456074 -0.02449631 -1.92359320 0.00243292 3.08012464 0.74100000 0.04000000 0.04000000
0.870000 -0.01863710 -0.20235588 -0.02461384 -1.92218929 0.00244494 3.08042586 0.74100000 0.04000000 0.04000000
0.875000 -0.01873498 -0.20014997 -0.02473110 -1.92078145 0.00245693 3.08072749 0.74100000 0.04000000 0.04000000
0.880000 -0.01883283 -0.19794302 -0.02484808 -1.91936967 0.00246890 3.08102952 0.74100000 0.04000000 0.04000000
0.885000 -0.01893066 -0.19573502 -0.02496478 -1.91795396 0.00248085 3.08133194 0.74100000 0.04000000 0.04000000
0.890000 -0.01902847 -0.19352599 -0.02508120 -1.91653430 0.00249277 3.08163477 0.74100000 0.04000000 0.04000000
0.895000 -0.01912625 -0.19131591 -0.02519734 -1.91511069 0.00250467 3.08193798 0.74100000 0.04000000 0.04000000
0.900000 -0.01922401 -0.18910480 -0.02531320 -1.91368314 0.00251654 3.08224158 0.74100000 0.04000000 0.04000000
0.905000 -0.01932174 -0.18689265 -0.02542878 -1.91225163 0.00252838 3.08254557 0.74100000 0.04000000 0.04000000
0.910000 -0.01941946 -0.18467948 -0.02554408 -1.91081616 0.00254020 3.08284993 0.74100000 0.04000000 0.04000000
0.915000 -0.01951716 -0.18246527 -0.02565910 -1.90937673 0.00255200 3.08315467 0.74100000 0.04000000 0.04000000
0.920000 -0.01961485 -0.18025003 -0.02577384 -1.90793333 0.00256377 3.08345978 0.74100000 0.04000000 0.04000000
0.925000 -0.01971251 -0.17803377 -0.02588830 -1.90648596 0.00257552 3.08376525 0.74100000 0.04000000 0.04000000
0.930000 -0.01981017 -0.17581649 -0.02600248 -1.90503463 0.00258724 3.08407109 0.74100000 0.04000000 0.04000000
0.935000 -0.01990781 -0.17359818 -0.02611638 -1.90357931 0.00259894 3.08437728 0.74100000 0.04000000 0.04000000
0.940000 -0.02000544 -0.17137885 -0.02622999 -1.90212001 0.00261061 3.08468383 0.74100000 0.04000000 0.04000000
0.945000 -0.02010306 -0.16915851 -0.02634332 -1.90065673 0.00262225 3.08499073 0.74100000 0.04000000 0.04000000
0.950000 -0.02020067 -0.16693715 -0.02645637 -1.89918946 0.00263387 3.08529798 0.74100000 0.04000000 0.04000000
0.955000 -0.02029827 -0.16471478 -0.02656913 -1.89771820 0.00264547 3.08560556 0.74100000 0.04000000 0.04000000
0.960000 -0.02039587 -0.16249139 -0.02668161 -1.89624294 0.00265704 3.08591348 0.74100000 0.04000000 0.04000000
0.965000 -0.02049346 -0.16026700 -0.02679381 -1.89476367 0.00266858 3.08622174 0.74100000 0.04000000 0.04000000
0.970000 -0.02059104 -0.15804160 -0.02690573 -1.89328040 0.00268010 3.08653032 0.74100000 0.04000000 0.04000000
0.975000 -0.02068863 -0.15581519 -0.02701735 -1.89179313 0.00269159 3.08683923 0.74100000 0.04000000 0.04000000
0.980000 -0.02078621 -0.15358777 -0.02712870 -1.89030183 0.00270306 3.08714846 0.74100000 0.04000000 0.04000000
0.985000 -0.02088380 -0.15135936 -0.02723976 -1.88880652 0.00271450 3.08745800 0.74100000 0.04000000 0.04000000
0.990000 -0.02098138 -0.14912994 -0.02735053 -1.88730719 0.00272592 3.08776786 0.74100000 0.04000000 0.04000000
0.995000 -0.02107897 -0.14689952 -0.02746102 -1.88580383 0.00273730 3.08807802 0.74100000 0.04000000 0.04000000
1.000000 -0.02117656 -0.14466811 -0.02757122 -1.88429644 0.00274867 3.08838848 0.74100000 0.04000000 0.04000000
1.005000 -0.02127416 -0.14243570 -0.02768114 -1.88278501 0.00276001 3.08869924 0.74100000 0.04000000 0.04000000
1.010000 -0.02137177 -0.14020229 -0.02779076 -1.88126954 0.00277132 3.08901030 0.74100000 0.04000000 0.04000000
1.015000 -0.02146938 -0.13796789 -0.02790010 -1.87975003 0.00278260 3.08932164 0.74100000 0.04000000 0.04000000
1.020000 -0.02156700 -0.13573250 -0.02800916 -1.87822647 0.00279386 3.08963327 0.74100000 0.04000000 0.04000000
1.025000 -0.02166463 -0.13349612 -0.02811792 -1.87669885 0.00280509 3.08994518 0.74100000 0.04000000 0.04000000
1.030000 -0.02176228 -0.13125875 -0.02822640 -1.87516718 0.00281630 3.09025737 0.74100000 0.04000000 0.04000000
1.035000 -0.02185994 -0.12902040 -0.02833459 -1.87363144 0.00282748 3.09056982 0.74100000 0.04000000 0.04000000
1.040000 -0.02195761 -0.12678106 -0.02844249 -1.87209163 0.00283863 3.09088254 0.74100000 0.04000000 0.04000000
1.045000 -0.02205530 -0.12454073 -0.02855009 -1.87054775 0.00284976 3.09119553 0.74100000 0.04000000 0.04000000
1.050000 -0.02215300 -0.12229943 -0.02865741 -1.86899979 0.00286085 3.09150877 0.74100000 0.04000000 0.04000000
1.055000 -0.02225073 -0.12005714 -0.02876444 -1.86744775 0.00287193 3.09182226 0.74100000 0.04000000 0.04000000
1.060000 -0.02234847 -0.11781387 -0.02887118 -1.86589163 0.00288297 3.09213601 0.74100000 0.04000000 0.04000000
1.065000 -0.02244623 -0.11556962 -0.02897763 -1.86433140 0.00289399 3.09244999 0.74100000 0.04000000 0.04000000
1.070000 -0.02254402 -0.11332440 -0.02908379 -1.86276709 0.00290498 3.09276422 0.74100000 0.04000000 0.04000000
